indivname,ObsSex,Age,DataType
Age10_HYP_10,2,10,Wild
Age8_HYP_102,1,8,Wild
Age15_HYP_125,1,15,Wild
Age6_HYP_132,2,6,Wild
Age12_HYP_135,1,12,Wild
Age15_HYP_157,1,15,Wild
Age6_HYP_163,1,6,Wild
Age10_HYP_164,1,10,Wild
Age12_HYP_165,1,12,Wild
Age6_HYP_177,2,6,Wild
Age6_HYP_187,1,6,Wild
Age8_HYP_197,1,8,Wild
Age15_HYP_198,2,15,Wild
Age15_HYP_209,1,15,Wild
Age12_HYP_211,2,12,Wild
Age12_HYP_224,2,12,Wild
Age12_HYP_227,1,12,Wild
Age15_HYP_232,2,15,Wild
Age12_HYP_236,2,12,Wild
Age8_HYP_250,2,8,Wild
Age6_HYP_251,1,6,Wild
Age15_HYP_255,1,15,Wild
Age6_HYP_265,1,6,Wild
Age10_HYP_266,2,10,Wild
Age15_HYP_35,1,15,Wild
Age10_HYP_47,1,10,Wild
Age6_HYP_488,2,6,Wild
Age10_HYP_494,2,10,Wild
Age12_HYP_502,2,12,Wild
Age12_HYP_517,2,12,Wild
Age10_HYP_52,1,10,Wild
Age10_HYP_526,2,10,Wild
Age8_HYP_530,2,8,Wild
Age10_HYP_531,2,10,Wild
Age6_HYP_540,2,6,Wild
Age10_HYP_544,1,10,Wild
Age15_HYP_550,2,15,Wild
Age10_HYP_568,1,10,Wild
Age12_HYP_572,1,12,Wild
Age15_HYP_590,2,15,Wild
Age8_HYP_593,2,8,Wild
Age6_HYP_599,1,6,Wild
Age12_HYP_603,1,12,Wild
Age12_HYP_610,1,12,Wild
Age8_HYP_618,2,8,Wild
Age8_HYP_621,1,8,Wild
Age8_HYP_639,1,8,Wild
Age10_HYP_645,1,10,Wild
Age6_HYP_731,1,6,Wild
Age8_HYP_732,1,8,Wild
Age8_HYP_735,1,8,Wild
Age15_HYP_9,1,15,Wild
Age8_HYP_90,2,8,Wild
Age6_HYP_91,2,6,Wild
Age15_HYP_98,2,15,Wild
Age4_HIP_91,1,4,Wild
Age4_HIP_93,2,4,Wild
Age4_HIP_5463,1,4,Wild
Age4_HIP_5490,2,4,Wild
Age4_HIP_5498,2,4,Wild
Age4_HIP_5513,2,4,Wild
Age4_HIP_5517,1,4,Wild
Age4_HIP_5520,2,4,Wild
Age4_HIP_5525,1,4,Wild
Age4_HIP_5530,1,4,Wild
Age4_HIP_5533,1,4,Wild
HPEI_Age23_0009,2,23,Hatchery
HPEI_Age23_0010,2,23,Hatchery
HPEI_Age23_0019,2,23,Hatchery
HPEI_Age23_0022,2,23,Hatchery
HPEI_Age23_0048,2,23,Hatchery
HPEI_Age23_0066,2,23,Hatchery
HPEI_Age4_0020,2,4,Hatchery
HPEI_Age4_0033,2,4,Hatchery
HPEI_Age4_0035,2,4,Hatchery
HPEI_Age4_0049,2,4,Hatchery
HPEI_Age4_0055,2,4,Hatchery
HPEI_Age4_0070,2,4,Hatchery
HPEI_Age8_0013,2,8,Hatchery
HPEI_Age8_0025,2,8,Hatchery
HPEI_Age8_0032,2,8,Hatchery
HPEI_Age8_0046,2,8,Hatchery
HPEI_Age8_0056,2,8,Hatchery
HPEI_Age8_0071,2,8,Hatchery
